rule_id,domain,topic,title,applies_to,keywords,requirement,preferred_pattern,anti_pattern,default_value,notes
CMP-001,component,table,Use default as the default enterprise table size,Enterprise tables data grids,"table,size,default",Default enterprise table size is default (Element Plus medium equivalent),Set the component size prop explicitly to default when the component API supports it,Do not rely on inherited arbitrary spacing or inconsistent implicit defaults,default,Applies to shared table wrappers and direct table usage
CMP-002,component,table,Manual table composition must visually match default spec,Custom composed tables,"table,row-height,cell-padding,manual",If the table is composed manually row height cell padding and toolbar alignment should visually match the default specification,Normalize row height cell padding and toolbar alignment against the shared default baseline,Do not leave manual tables with arbitrary spacing just because they are not using the stock component,default,Use when auditing bespoke tables
CMP-003,component,toolbar,Keep adjacent toolbar button spacing at 12px for normal buttons and 8px for icon buttons,Table toolbars action groups,"toolbar,button,gap,12px,8px,spacing",When buttons are placed in a table toolbar horizontal spacing between adjacent normal buttons must be 12px and between icon buttons must be 8px,Use a shared toolbar wrapper or flex with gap-3 for normal buttons and gap-2 for icon-only buttons,Do not add repeated one-off left or right margins between neighboring actions,12px|8px,Tokenized gap is preferred over local margins. Normal buttons use 12px (gap-3), icon-only buttons use 8px (gap-2)
CMP-004,component,button,Ensure final visual spacing is 12px for normal buttons and 8px for icon buttons,All button groups,"button,spacing,gap,margin,12px,8px,normal,icon",All button groups should have 12px final visual spacing between normal buttons and 8px final visual spacing between icon-only buttons,Use flex containers with gap-3 for normal buttons and gap-2 for icon-only buttons; ensure button components have margin:0,Do not use arbitrary spacing values for button groups and do not rely on button component margins,12px|8px,Applies to all button groups. Final visual spacing must be 12px for normal buttons (gap-3) and 8px for icon-only buttons (gap-2). Ensure button components have margin:0 to avoid adding extra spacing
CMP-005,component,audit,Verify enterprise default size before editing,Reusable enterprise components,"audit,component,size,default",When touching a component verify whether it is using the enterprise default size,Check current props wrappers and inherited defaults before patching,Do not patch spacing in isolation without checking the component's default size,,Use as an audit question
CMP-006,component,audit,Verify action group alignment and spacing consistency,Toolbars repeated action clusters,"audit,alignment,spacing,action-group",When touching a component verify whether action groups are aligned and spaced consistently,Normalize via shared wrappers or stable layout primitives,Do not fix a single button if the group pattern remains inconsistent,,Use as an audit question
CMP-007,component,audit,Prefer shared primitives over local padding and text overrides,Reusable components shared wrappers,"audit,primitive,padding,text,shared",When touching a component verify whether paddings heights and text styles are inherited from a shared primitive instead of being redefined locally,Move repeated rules into the shared primitive when safe,Do not keep re-declaring the same local overrides across instances,,Use as an audit question
CMP-008,component,audit,Consider enforcing repeated rules in a shared wrapper,Wrapper components repeated patterns,"audit,wrapper,shared,refactor",When the same component rule appears repeatedly prefer enforcing it in a shared wrapper component,Patch the shared primitive if risk is acceptable,Do not duplicate the same fix in many call sites when one wrapper can own it,,Use to generalize future rule additions
CMP-009,component,input,Use default as the default search input size,Search inputs,"search,input,size,default",Default search input size is default (Element Plus medium equivalent),Set the component size prop explicitly to default when the component API supports it,Do not rely on inherited arbitrary spacing or inconsistent implicit defaults,default,Applies to all search input components
CMP-010,component,select,Use default as the default select size,Select dropdowns,"select,size,default",Default select size is default (Element Plus medium equivalent),Set the component size prop explicitly to default when the component API supports it,Do not rely on inherited arbitrary spacing or inconsistent implicit defaults,default,Applies to all select components
CMP-011,component,select,Configure clearable and searchable for select components,Select dropdowns,"select,clearable,searchable,config",Select components should be configured with clearable and searchable features when appropriate,Enable clearable prop and searchable prop in select component configuration,Do not omit clearable and searchable features when users need to quickly clear or search options,,Applies to select components where these features are relevant
CMP-012,component,select,Use collapsed tags for multi-select in filter areas,Filter area multi-selects,"select,multi-select,filter,collapsed-tags",When using multi-select in filter areas prioritize collapsed tags display,Set collapsed-tags prop to true for multi-select components in filter areas,Do not show all selected tags inline when there are many selections in filter areas,,Applies to filter area multi-select components
CMP-013,component,select,Use collapsed tags with hover expand for multi-select in forms,Form multi-selects,"select,multi-select,form,collapsed-tags,hover",When using multi-select in form pages prioritize collapsed tags with hover expand,Set collapsed-tags prop to true and enable hover expand for multi-select components in forms,Do not show all selected tags inline when there are many selections in forms,,Applies to form page multi-select components
CMP-014,component,datepicker,Use default as the default date picker size,Date pickers,"datepicker,size,default",Default date picker size is default (Element Plus medium equivalent),Set the component size prop explicitly to default when the component API supports it,Do not rely on inherited arbitrary spacing or inconsistent implicit defaults,default,Applies to all date picker components
CMP-015,component,datepicker,Configure clearable for date picker components,Date pickers,"datepicker,clearable,config",Date picker components should be configured with clearable feature when appropriate,Enable clearable prop in date picker component configuration,Do not omit clearable feature when users need to quickly clear the date selection,,Applies to date picker components where this feature is relevant
CMP-016,component,table,Fix multi-select column width to 40px,Table multi-select columns,"table,multi-select,width,40px",Table multi-select column width should be fixed at 40px,Set the width prop explicitly to 40px for multi-select columns,Do not use arbitrary or inherited widths for multi-select columns,40px,Applies to table multi-select columns
CMP-017,component,table,Set minimum width of 44px for table index columns,Table index columns,"table,index,width,44px",Table index column width should be at least 44px,Set the width prop to at least 44px for index columns,Do not use widths smaller than 44px for index columns,44px,Applies to table index columns
CMP-018,component,table,Freeze action column to the right,Table action columns,"table,action,fixed,right",Table action column should be frozen to the right side,Set fixed prop to right for action columns,Do not let action columns scroll with the table content,,Applies to table action columns
CMP-019,component,table,Use dash for empty table cells,Table empty cells,"table,empty,dash,placeholder",When table cell data is empty use dash as placeholder,Display dash character when cell value is null or empty,Do not leave empty cells blank or use inconsistent placeholders,-,Applies to table cell data display
CMP-020,component,table,Add borders around multi-level table headers,Multi-level table headers,"table,header,border,multi-level",When table has multi-level headers add borders around all header cells,Set border props for header cells in multi-level tables,Do not leave header cells without borders in multi-level tables,,Applies to tables with multi-level headers
CMP-021,component,table,Add borders around cells in multi-level tables,Multi-level table cells,"table,cell,border,multi-level",When table has multi-level headers add borders around all data cells,Set border props for data cells in multi-level tables,Do not leave data cells without borders in multi-level tables,,Applies to tables with multi-level headers
CMP-022,component,form,Use default as the default form size,Form components,"form,size,default",Default form size is default (Element Plus medium equivalent),Set the component size prop explicitly to default when the component API supports it,Do not rely on inherited arbitrary spacing or inconsistent implicit defaults,default,Applies to all form components
CMP-023,component,form,Place Chinese labels above form fields,Form labels,"form,label,chinese,layout",Chinese form labels should be placed above the form fields,Use label-position prop set to top for Chinese form layouts,Do not place Chinese labels on the left side of form fields,top,Applies to Chinese form layouts
CMP-024,component,link,Use default as the default text link size,Text links,"link,size,default",Default text link size is default (Element Plus medium equivalent),Set the component size prop explicitly to default when the component API supports it,Do not rely on inherited arbitrary spacing or inconsistent implicit defaults,default,Applies to all text link components
CMP-025,component,dropdown,Use default as the default dropdown button size,Dropdown buttons,"dropdown,size,default",Default dropdown button size is default (Element Plus medium equivalent),Set the component size prop explicitly to default when the component API supports it,Do not rely on inherited arbitrary spacing or inconsistent implicit defaults,default,Applies to all dropdown button components
CMP-026,component,form,Maintain consistent component width with max 4 per row,Form content layout,"form,layout,width,grid,4",Form content area should have consistent component width with maximum 4 components per row,Use grid layout with equal column widths and limit to 4 columns,Do not use inconsistent widths or place more than 4 components in a single row,4,Applies to form content area layout
CMP-027,component,button,Align search form action buttons to the right,Search form action buttons,"button,search,form,align,right",Action buttons in search forms should be aligned to the right side of the page,Use flex layout with justify-end or similar alignment for action button group,Do not align action buttons to the left or center in search forms,,Applies to search form action buttons
CMP-028,component,button,Place important buttons on the right in global button groups,Global button groups,"button,group,ordering,important,right",In global button groups important buttons should be placed on the right side with secondary buttons on the left,Arrange buttons with primary action on the right and secondary actions on the left,Do not place important buttons on the left or mix button ordering inconsistently,,Applies to global button groups
CMP-029,component,button,Place important buttons on the left in table toolbars,Table toolbar buttons,"button,table,toolbar,ordering,important,left",In table toolbars important buttons should be placed on the left side with secondary buttons on the right aligned to the left overall,Arrange buttons with primary action on the left and secondary actions on the right with left alignment,Do not place important buttons on the right or mix button ordering inconsistently,,Applies to table toolbar buttons
CMP-030,component,table,Remove borders from single-level table headers,Single-level table headers,"table,header,border,single-level",Single-level table headers should not have borders,Remove border props from header cells in single-level tables,Do not add borders to single-level table headers,,Applies to tables with single-level headers
CMP-031,component,table,Use font icons for table action column buttons,Table action column buttons,"table,action,icon,button,font-icon,tooltip",Table action column buttons must use font icons with tooltips instead of text labels,"Use font icon components with tooltips. Check project for custom component prefix. Use type=""text"" and color: inherit (see CMP-035)",Do not use text labels or explicit type props (primary/danger) on icon-only buttons. Do not omit tooltips,Applies to all table action column buttons. Must work together with CMP-035 (icon-only button styling). CRITICAL: Icon-only buttons MUST have tooltips for accessibility. Use semantic icons that clearly represent their action. Compatible with any font icon library and UI framework (Element Plus,Combine with CMP-035. Compatible with any icon library and UI framework., Material UI, Bootstrap, etc.) and ANY custom component library prefix.
CMP-031b,component,table,Set tight gap between table action column icon buttons,Table action column icon button spacing,"table,action,icon,button,gap,spacing,margin",Icon buttons in table action columns must be wrapped in a flex container with gap-2 and all button margins must be reset to 0 via scoped style,Wrap action column buttons in flex gap-2 and add :deep(.el-button) { margin: 0; } in scoped style. Button container itself should have no extra padding or margin,Do not rely on default el-button margins or use arbitrary gap values. Do not leave icon buttons with default Element Plus margin spacing,flex gap-2|margin:0,Applies to all table action columns with multiple icon buttons. The margin:0 reset is critical because Element Plus adds default margin to buttons.
CMP-032,component,table,Disable zebra striping for tables,Table zebra striping,"table,zebra,striping,alternating",Tables should not use zebra striping or alternating row colors,Disable zebra striping props or styles in table components,Do not enable zebra striping or alternating row colors in tables,,Applies to all table components
CMP-033,component,button,Limit primary button to one per button group,Button groups,"button,primary,group,limit",A button group should contain at most one primary or important button to highlight a single key action,Use only one primary button in the same button group and use default or secondary styles for other buttons,Do not use multiple primary buttons in the same button group as it confuses the user about the main action,,Applies to toolbars search forms and general action groups
CMP-034,component,datepicker,Align date picker icon to the right side,Date picker icons,"datepicker,icon,right,alignment",Date picker icon should be aligned to the right side of the input field,Use component prop or style to align the icon to the right side,Do not align date picker icon to the left side or use inconsistent icon alignment,,Applies to all date picker components
CMP-035,component,button,Use type=text and color: inherit for icon-only buttons,Icon buttons,"button,icon,type=text,ghost,inherit,color,css",Icon-only buttons should use type=text and color: inherit to remove borders and ensure no color,"Use type=""text"" prop for icon-only buttons and add scoped style color: inherit",Do not use type=primary, or other explicit type props on icon-only buttons and do not rely on default component colors,"Icon-only buttons must use type=""text"" and CSS color: inherit to remove borders and default color",Icon buttons should use type=text and CSS color: inherit to remove borders and ensure no color from component defaults
CMP-036,component,table,Use rgba(31, 85, 181, 0.05) for table header background,Table headers,"table,header,background,color,opacity","Table header background must use rgba(31, 85, 181, 0.05), applied via :deep() override","Use scoped style to set el-table__header-wrapper background to rgba(31, 85, 181, 0.05)","Do not use arbitrary header background colors or inconsistent opacity values","rgba(31, 85, 181, 0.05)",Applies to all table headers
CMP-037,component,table,Set default table row height to 40px,Table rows,"table,row,height,40px,default",Table row height should be 40px by default,Set row-height prop or style to 40px for table rows,Do not use arbitrary or inconsistent row heights,40px,Applies to all table rows
CMP-038,component,button,Remove borders from filled buttons and tags,Buttons and tags,"button,tag,border,filled,color",Buttons and tags with filled background colors should not have borders,Remove border props or styles from buttons and tags when they have background colors,Do not add borders to filled buttons or tags as it creates visual redundancy,,Applies to all buttons and tags with background colors
CMP-039,component,form,Set input height to 32px and label height to 22px for vertical form layout,Form inputs and labels,"form,input,label,height,vertical,layout,spacing","For vertical form layout: input height h-8 (32px), label height h-[22px] (22px), label-input gap space-1 (4px)","Use h-8 for inputs, h-[22px] for labels, space-1 for label-input gap",Do not use arbitrary heights for inputs labels or inconsistent spacing in vertical form layouts,32px|22px|4px,Applies to all forms including search forms with vertical label layout
CMP-039b,component,form,Form items must fill column width with grid 4-column layout,Form layout width,"form,grid,column,width,fill,input,select,datepicker",Each form item (input select datepicker etc.) must fill the full width of its grid column using w-full class. The form container should use a 4-column grid layout with gap-4,Use grid grid-cols-4 gap-4 on the form container and w-full on every el-form-item child so all item types uniformly fill their column,Do not use fixed widths or let items shrink inconsistently. Do not leave empty space within grid columns,grid-cols-4|gap-4|w-full,Applies to all form containers with multiple items per row. Every el-form-item regardless of its input type must have w-full.
CMP-040,component,button,Place query button at far right with 12px spacing in search area,Search form buttons,"search,query,button,right,spacing,12px",In search area the query button should be placed at the far right side with 12px spacing between buttons,Use flex layout with justify-end and 12px gap between buttons in search area,Do not place query button in the middle or left side or use inconsistent button spacing,12px,Applies to search form action buttons
CMP-041,component,button,Set minimum width of 88px for medium buttons,Button sizing,"button,width,medium,88px,min-width",Medium buttons should have a minimum width of 88px,Set min-width to 88px for medium sized buttons,Do not use arbitrary widths smaller than 88px for medium buttons,88px,Applies to all medium sized buttons
CMP-042,component,table,Align table toolbar to the left side above the table,Table toolbars,"table,toolbar,align,left,above",Table toolbar action area should be aligned to the left side and positioned above the table,Place toolbar on the left side above the table with left alignment,Do not place toolbar on the right side or below the table or use inconsistent alignment,,Applies to all table toolbars and action areas
CMP-043,component,table,Set 8px spacing between table toolbar and table,Table toolbars,"table,toolbar,spacing,8px,top",Table toolbar should have 8px spacing from the top of the table,Use margin-top of 8px between toolbar and table,Do not use arbitrary spacing or inconsistent spacing between toolbar and table,8px,Applies to all table toolbars and action areas
CMP-044,component,form,Place form labels above input fields,Form labels,"form,label,above,input,layout",Form labels should be placed above the input fields,Use label-position prop set to top for form layouts,Do not place form labels on the left side of input fields,top,Applies to all form layouts
CMP-045,component,table,Prevent table header labels from wrapping,Table headers,"table,header,label,nowrap,wrap",Table header labels should not wrap to multiple lines,Set show-overflow-tooltip prop or use nowrap style for table headers,Do not allow table header labels to wrap to multiple lines,,nowrap,Applies to all table headers
CMP-046,component,collapse,Set expand-icon-position to left for Collapse panel,Collapse panel expand icon,"collapse,expand-icon-position,left,icon",Collapse panel component expand-icon-position prop must be set to left so the expand/collapse arrow icon appears on the left side of the panel title,Set expand-icon-position prop to left for all Collapse components,Do not use right or default icon position for Collapse panel expand icons,left,Applies to all Collapse panel components

